SKU;NOMBRE;MONTO;DSCTO;FECHA;ESTADO
30857;GASEOSA INCA KOLA + COCA COLA BOTELLA 3L PAQUETE 3UN;6247;-3533;2 022-12-31T22:07:47.994631Z;FINALIZED
10020839;LECHE GLORIA UHT ENTERA BOLSA 900ML PAQUETE 3UN;2608;-2305;202 2-12-31T22:08:54.829972Z;REJECT
10020839;LECHE GLORIA UHT ENTERA BOLSA 900ML PAQUETE 3UN;2608;-3075;202 2-12-31T22:08:54.829972Z;REJECT
10723768;LECHE GLORIA RECONSTITUIDA 6 PACK LATA 170G;2776;-717;2022-12- 31T22:08:54.829972Z;REJECT
10163900;PACK D'ONOFRIO HELADO PEZIDURI CHOCOLATE CREMOSO POTE 930ML X 2UN; 5006;-3596;2022-12-31T22:09:06.248317Z;FINALIZED
2068;TROZOS DE ATÚN A1 EN ACEITE VEGETAL LATA 170G;883;-774;2022-12-31T 22:09:06.248317Z;FINALIZED
2939;HUEVOS DE GALLINA BELL'S PARDOS BANDEJA 15UN;1998;-870;2022-12-31T 22:09:06.248317Z;FINALIZED
10746883;PACK FORTIFICANTE NESQUIK VAINILLA 350G DOYPACK 2UN;6268;-10639 ;2022-12-31T22:09:06.248317Z;FINALIZED
5094;GASEOSA COCA COLA + INCA KOLA 2PACK BOTELLA 3L;4249;-7046;2022-12- 31T22:09:08.755874Z;FINALIZED
1952192;MOCHILA BASICA AEREAL FLORES SB-2102G;6299;0;2022-12-31T22:09:1 2.285498Z;REVERSED
2151855;LENTES TYPE C + AUDÍFONOS SKULLCANDY DIME BLACK HOMBRE;31342;0; 2022-12-31T22:09:15.708684Z;REJECT
32048;TROZOS DE ATÚN BELL'S EN ACEITE VEGETAL LATA 170G;967;-1169;2022- 12-31T22:09:25.126116Z;REJECT
10291702;HARINA MORIXE DE MAIZ BLANCO BOLSA 1K;2082;-6083;2022-12-31T22 :09:25.126116Z;REJECT
4659;MANTEQUILLA LAIVE CON SAL BARRA 100G;1388;-328;2022-12-31T22:09:25 .126116Z;REJECT
10012600;LECHE EVAPORADA BELL'S LIGHT LATA 410G;736;-698;2022-12-31T22: 09:25.126116Z;REJECT
2068;TROZOS DE ATÚN A1 EN ACEITE VEGETAL LATA 170G;883;-412;2022-12-31T 22:09:25.126116Z;REJECT
10021791;ARROZ EXTRA GRAN CHALAN BOLSA 5KG;4164;-980;2022-12-31T22:09:2 5.126116Z;REJECT
5432;MAYONESA ALACENA DOYPACK 475G;2923;-1329;2022-12-31T22:09:25.12611 6Z;REJECT
24010;ARROZ SUPERIOR PAISANA BOLSA 5KG;3786;-1129;2022-12-31T22:09:25.1 26116Z;REJECT
49952;MERMELADA COMPASS FRESA POTE 350G;1156;-271;2022-12-31T22:09:25.1 26116Z;REJECT
10746883;PACK FORTIFICANTE NESQUIK VAINILLA 350G DOYPACK 2UN;6268;-9957;" ""2022-12-31T22:09:25.126116Z""";REJECT
40438;PACK CERVEZA PILSEN 12 PACK LATA 355ML X 2UN;18048;-66891;2022-12 -31T22:09:47.895142Z;REJECT
10020839;LECHE GLORIA UHT ENTERA BOLSA 900ML PAQUETE 3UN;2608;-2305;202 2-12-31T22:09:56.045388Z;FINALIZED
